event_id,ticker,t0_utc,direction,has_news,is_opening_bell,is_etf,final_I,final_P,final_confidence,dominant_class,policy_behavior,disagreement_score,round2_shift,top_rationale,true_label_proxy,elapsed_s
META_20251112_143000,META,2025-11-12 14:30:00+00:00,-1,True,True,False,0.22,0.43,0.4,mixed,unclear,0.3333,0.125,"The Microstructure and Macro agents both initially overemphasized the volume multiplier as panic evidence, but the Skeptic highlighted this as a common opening auction feature, leading to a reduction in P scores.",continuation,40.8
META_20260113_143000,META,2026-01-13 14:30:00+00:00,-1,True,True,False,0.31,0.31,0.64,mixed,unclear,0.58,0.115,"The Microstructure Agent emphasizes the extreme volume and range as typical of opening mechanics rather than panic, suggesting a mechanical response.",continuation,47.7
META_20260108_143000,META,2026-01-08 14:30:00+00:00,-1,True,True,False,0.23,0.59,0.62,panic,reversal,0.1133,0.095,"All agents agree on the absence of a clear information catalyst, with I_scores ranging from 0.18 to 0.25.",reversal,55.0
META_20260105_143000,META,2026-01-05 14:30:00+00:00,1,False,True,False,0.37,0.5,0.54,panic,reversal,0.3667,0.1667,"The Microstructure Agent emphasizes the absence of META-specific news and interprets the high volume as liquidity-driven, not information-driven, suggesting a higher P_score.",continuation,67.6
META_20251029_194500,META,2025-10-29 19:45:00+00:00,1,True,False,False,0.54,0.61,0.55,panic,reversal,0.4333,0.1383,"The Microstructure Agent and News Agent both highlight extreme liquidity metrics (range multiple of 54.6x and volume multiple of 9.8x), which are classic indicators of panic, supporting a higher P_score.",reversal,54.0
META_20260107_144500,META,2026-01-07 14:45:00+00:00,-1,True,True,False,0.29,0.47,0.4,panic,reversal,0.7533,0.1267,"The Microstructure Agent's high P_score (0.9) is driven by the extreme volume at market open, which is mechanically expected and not necessarily indicative of panic.",continuation,46.8
META_20251103_143000,META,2025-11-03 14:30:00+00:00,-1,True,True,False,0.21,0.73,0.62,panic,reversal,0.1333,0.165,"All agents agree that the spike occurred at market open, a time often associated with mechanical and liquidity-driven flows rather than new information.",continuation,56.3
MSFT_20251031_133000,MSFT,2025-10-31 13:30:00+00:00,-1,True,False,False,0.28,0.45,0.5,noise,unclear,0.4667,0.1333,"The Microstructure Agent's higher P_score is supported by the timing of the move, which coincides with known high-volatility periods, suggesting algorithmic or structural factors rather than pure information flow.",continuation,54.5
MSFT_20260107_143000,MSFT,2026-01-07 14:30:00+00:00,1,True,True,False,0.1,0.32,0.43,panic,reversal,0.3,0.0833,The Microstructure Agent's high P_score is not fully supported by evidence of panic behavior such as directional selling pressure or widening spreads.,continuation,47.4
MSFT_20251124_144000,MSFT,2025-11-24 14:40:00+00:00,-1,True,True,False,0.37,0.57,0.58,panic,reversal,0.6667,0.195,"The Microstructure Agent highlights extreme volume and timing that suggest panic, assigning a high P_score.",reversal,76.7
MSFT_20251104_143000,MSFT,2025-11-04 14:30:00+00:00,-1,False,True,False,0.18,0.41,0.53,mixed,unclear,0.3133,0.1,"Microstructure Agent identifies high volume at market open but notes mixed directional flow, suggesting mechanical rather than panic-driven activity.",reversal,41.7
MSFT_20251110_143000,MSFT,2025-11-10 14:30:00+00:00,-1,True,True,False,0.183,0.267,0.48,noise,unclear,0.3333,0.1083,"Microstructure Agent's high P_score was adjusted downwards due to the Skeptic's critique, emphasizing the mechanical nature of the volume spike at market open.",reversal,42.9
MSFT_20251222_143500,MSFT,2025-12-22 14:35:00+00:00,-1,True,True,False,0.07,0.74,0.45,panic,reversal,0.5267,0.0833,"All agents report a significantly higher P_score compared to I_score, indicating a consensus towards panic-driven behavior.",unclear,44.0
MSFT_20251029_195500,MSFT,2025-10-29 19:55:00+00:00,1,True,False,False,0.48,0.44,0.65,mixed,unclear,0.3667,0.1417,"The Microstructure Agent provides a strong I_score of 0.65, suggesting information-driven movement, but acknowledges potential panic influences.",reversal,79.2
MSFT_20251106_143000,MSFT,2025-11-06 14:30:00+00:00,-1,True,True,False,0.1,0.35,0.4,panic,reversal,0.2333,0.0967,"All agents agree on the absence of material MSFT-specific news, supporting a lower I_score.",continuation,38.0
MSFT_20251121_145500,MSFT,2025-11-21 14:55:00+00:00,-1,True,True,False,0.13,0.43,0.4,panic,reversal,0.2867,0.1617,"All agents agree on the absence of MSFT-specific news, which weakens the information signal.",continuation,44.9
MSFT_20260105_143000,MSFT,2026-01-05 14:30:00+00:00,-1,True,True,False,0.27,0.39,0.62,mixed,unclear,0.5467,0.1333,"The Microstructure Agent's P_score of 0.6 suggests significant panic, but the Skeptic's critique highlights that the high volume multiplier and opening bell context are more indicative of mechanical rebalancing than panic.",reversal,54.4
NFLX_20251111_143000,NFLX,2025-11-11 14:30:00+00:00,1,False,True,False,0.39,0.6,0.65,panic,reversal,0.1667,0.1217,"The extreme volume multiplier of 695x suggests a significant event, potentially informed trading, but the absence of public news makes it difficult to definitively classify as information-driven.",unclear,48.3
NFLX_20251028_133000,NFLX,2025-10-28 13:30:00+00:00,1,False,False,False,0.26,0.19,0.54,noise,unclear,0.4533,0.1367,"Microstructure Agent initially had a high I_score but revised it downwards considering the extreme liquidity multipliers, which suggest technical or liquidity-driven events rather than information-driven ones.",continuation,44.0
NFLX_20251110_143000,NFLX,2025-11-10 14:30:00+00:00,1,False,True,False,0.19,0.46,0.52,panic,reversal,0.32,0.0767,"The high P_scores from Microstructure and News agents are primarily driven by the extreme volume multiplier, which could indicate mechanical flows rather than true panic.",continuation,51.0
NFLX_20260113_143000,NFLX,2026-01-13 14:30:00+00:00,1,True,True,False,0.37,0.52,0.58,panic,reversal,0.4333,0.1867,"The Microstructure Agent highlights sustained market behavior and extreme volume, suggesting informed activity rather than panic.",reversal,47.9
NFLX_20251030_195500,NFLX,2025-10-30 19:55:00+00:00,-1,False,False,False,0.22,0.63,0.47,panic,reversal,0.26,0.08,"The Microstructure agent highlights extreme volume and range metrics, suggesting disorderly liquidity rather than clean information absorption, supporting a higher P_score.",reversal,45.0
NFLX_20251021_200000,NFLX,2025-10-21 20:00:00+00:00,-1,False,False,False,0.26,0.53,0.5,panic,reversal,0.32,0.1267,"The Microstructure Agent's initial high I_score was adjusted down due to lack of corroborating news or macro evidence, aligning with the Skeptic's critique.",reversal,55.4
NFLX_20260106_143000,NFLX,2026-01-06 14:30:00+00:00,-1,False,True,False,0.19,0.46,0.47,panic,reversal,0.2333,0.1267,"All agents agree on the absence of specific NFLX news, suggesting low information-driven behavior.",unclear,44.7
NFLX_20251210_143000,NFLX,2025-12-10 14:30:00+00:00,-1,True,True,False,0.2,0.68,0.4,panic,reversal,0.6,0.1083,The Microstructure Agent's high P_score (0.9) and evidence of liquidity-driven activity suggest mechanical trading rather than informed trading.,continuation,47.6
NFLX_20251215_143000,NFLX,2025-12-15 14:30:00+00:00,-1,True,True,False,0.13,0.51,0.46,panic,reversal,0.34,0.0517,"The Microstructure and Macro agents both emphasize the mechanical nature of the spike, suggesting a panic-driven event, but lack historical volatility data to fully substantiate this.",continuation,56.3
NFLX_20260102_143000,NFLX,2026-01-02 14:30:00+00:00,-1,False,True,False,0.22,0.58,0.62,panic,reversal,0.12,0.085,"All agents agree on a relatively low I_score, indicating limited evidence of information-driven events.",unclear,52.2
NFLX_20260114_143000,NFLX,2026-01-14 14:30:00+00:00,-1,False,True,False,0.283,0.717,0.643,panic,reversal,0.3,0.15,"All agents agree on the absence of NFLX-specific news, indicating the move is not information-driven.",continuation,61.4
NFLX_20260105_143000,NFLX,2026-01-05 14:30:00+00:00,1,True,True,False,0.42,0.4,0.55,mixed,unclear,0.4,0.1167,"The Microstructure Agent's high I_score is tempered by the extreme volume multiplier, which is more indicative of panic or liquidity-driven movement.",unclear,59.7
NFLX_20251229_143500,NFLX,2025-12-29 14:35:00+00:00,1,False,True,False,0.25,0.61,0.54,panic,reversal,0.2667,0.1117,"The Microstructure Agent's high P_score (0.75) is tempered by the Skeptic's critique, which suggests potential mechanical explanations for the observed volume and price movement.",reversal,51.4
NFLX_20251124_205000,NFLX,2025-11-24 20:50:00+00:00,1,False,False,False,0.35,0.56,0.55,panic,reversal,0.4,0.1233,Microstructure Agent's I_score is adjusted down due to potential over-reliance on z-score magnitude without clear distinction between informed and uninformed trading.,unclear,52.8
NVDA_20251202_143000,NVDA,2025-12-02 14:30:00+00:00,1,True,True,False,0.31,0.55,0.51,panic,reversal,0.4533,0.11,"The Microstructure Agent and Macro Agent both emphasize the opening bell's mechanical imbalances, suggesting that the extreme volume multiplier may not indicate genuine panic.",reversal,48.9
NVDA_20251113_143000,NVDA,2025-11-13 14:30:00+00:00,-1,True,True,False,0.11,0.49,0.47,panic,reversal,0.26,0.1133,"All agents reported higher P scores than I scores, but the Skeptic's critique highlighted logical gaps and overconfidence in panic assessments.",continuation,44.1
NVDA_20260105_143000,NVDA,2026-01-05 14:30:00+00:00,1,True,True,False,0.35,0.48,0.5,mixed,unclear,0.6,0.1167,"The Microstructure Agent highlights the extreme 357x volume multiplier as indicative of panic, but also notes the absence of NVDA-specific news, which complicates the narrative.",reversal,79.5
NVDA_20251208_143000,NVDA,2025-12-08 14:30:00+00:00,1,True,True,False,0.4,0.38,0.58,mixed,unclear,0.4333,0.1583,"The Microstructure Agent's I_score of 0.55 and P_score of 0.45 reflect uncertainty about whether the move was information or panic-driven, with evidence suggesting both possibilities.",reversal,61.3
NVDA_20251208_175500,NVDA,2025-12-08 17:55:00+00:00,1,True,False,False,0.44,0.41,0.59,mixed,unclear,0.3467,0.16,"The Microstructure Agent's I_score of 0.55 is balanced by the News Agent's I_score of 0.52, indicating a moderate level of informed trading.",reversal,52.4
NVDA_20260114_143000,NVDA,2026-01-14 14:30:00+00:00,-1,True,True,False,0.29,0.69,0.59,panic,reversal,0.6133,0.155,"The timing of the Rubin announcement post-spike undermines its role as a causal factor, weakening the I_score.",continuation,54.2
NVDA_20251205_143500,NVDA,2025-12-05 14:35:00+00:00,-1,True,True,False,0.19,0.56,0.52,panic,reversal,0.2733,0.0717,"The Microstructure Agent's high P_score is primarily based on volume metrics, but lacks evidence of panic-specific microstructure behavior.",reversal,63.6
NVDA_20251125_143000,NVDA,2025-11-25 14:30:00+00:00,-1,True,True,False,0.39,0.59,0.53,panic,reversal,0.7,0.105,"The Microstructure Agent emphasizes a high P_score due to the timing of the spike post-earnings, suggesting panic rather than information-driven behavior.",continuation,73.3
NVDA_20260112_143000,NVDA,2026-01-12 14:30:00+00:00,1,True,True,False,0.23,0.73,0.58,panic,reversal,0.4133,0.2033,"All agents agree on the critical timing mismatch between the spike and the news announcements, which undermines the attribution of the spike to information-driven causes.",reversal,62.7
NVDA_20251124_144000,NVDA,2025-11-24 14:40:00+00:00,-1,True,True,False,0.3,0.69,0.65,panic,reversal,0.4467,0.135,"All agents agree on the absence of NVDA-specific news, indicating a low I_score.",reversal,73.4
PLTR_20251202_143000,PLTR,2025-12-02 14:30:00+00:00,1,False,True,False,0.1,0.38,0.37,noise,unclear,0.3333,0.1367,"All agents agree on the absence of ticker-specific news, which typically reduces the likelihood of panic.",unclear,41.8
PLTR_20251106_143500,PLTR,2025-11-06 14:35:00+00:00,1,False,True,False,0.38,0.52,0.58,panic,reversal,0.38,0.125,"The Microstructure Agent's high I_score was critiqued for potentially misinterpreting algorithmic trading as information-driven, suggesting a need for adjustment.",reversal,54.5
PLTR_20251029_134000,PLTR,2025-10-29 13:40:00+00:00,1,False,False,False,0.283,0.617,0.52,panic,reversal,0.2,0.2283,"All agents report higher P_scores than I_scores, indicating a stronger leaning towards panic.",continuation,44.4
PLTR_20260114_143000,PLTR,2026-01-14 14:30:00+00:00,1,False,True,False,0.4,0.59,0.64,panic,reversal,0.3333,0.09,"The Microstructure Agent and News Agent both highlight the absence of PLTR-specific news, suggesting the move is not information-driven.",reversal,52.9
PLTR_20251218_143000,PLTR,2025-12-18 14:30:00+00:00,1,False,True,False,0.31,0.44,0.51,panic,reversal,0.2933,0.1283,"Microstructure and News Agents both highlight the unusual magnitude of the price move at the opening bell, suggesting potential non-flow-driven activity.",continuation,43.5
PLTR_20251222_143500,PLTR,2025-12-22 14:35:00+00:00,1,True,True,False,0.11,0.3,0.37,panic,reversal,0.3133,0.1267,"All agents agree on the absence of PLTR-specific news or macro data at the time of the spike, supporting a low I_score.",reversal,55.8
PLTR_20251226_143000,PLTR,2025-12-26 14:30:00+00:00,-1,True,True,False,0.25,0.37,0.49,mixed,unclear,0.2,0.15,"All agents agree on the mechanical nature of the volume spike due to holiday reopening, reducing the likelihood of panic.",continuation,41.9
PLTR_20251215_143000,PLTR,2025-12-15 14:30:00+00:00,1,False,True,False,0.34,0.56,0.57,panic,reversal,0.1533,0.1517,"The Microstructure Agent's evidence suggests a balance between information and panic, but the high z-score alone is not sufficient to attribute the move to information arrival.",reversal,78.1
PLTR_20251124_143000,PLTR,2025-11-24 14:30:00+00:00,1,True,True,False,0.38,0.42,0.55,mixed,unclear,0.4333,0.1333,"Microstructure Agent suggests a moderate I_score due to lack of clear information-driven patterns, but acknowledges potential mechanical flows.",continuation,55.2
QQQ_20251125_144000,QQQ,2025-11-25 14:40:00+00:00,-1,True,True,True,0.45,0.44,0.5,mixed,unclear,0.7133,0.0983,"Microstructure Agent's high P_score was adjusted due to the sustained 6-bar cluster, which typically indicates deliberate positioning rather than panic.",reversal,55.1
QQQ_20251106_145000,QQQ,2025-11-06 14:50:00+00:00,-1,False,True,True,0.15,0.55,0.56,panic,reversal,0.1333,0.0783,All agents report low I_scores (0.1 to 0.2) indicating a lack of strong informational drivers.,continuation,38.2
QQQ_20260102_151000,QQQ,2026-01-02 15:10:00+00:00,-1,False,False,True,0.29,0.58,0.6,panic,reversal,0.2,0.135,"All agents report an absence of discoverable news, which weakens the case for an information-driven move.",continuation,49.0
QQQ_20251113_143500,QQQ,2025-11-13 14:35:00+00:00,-1,False,True,True,0.23,0.62,0.5,panic,reversal,0.12,0.0967,"All agents reported higher P_scores, suggesting a panic-driven event, but the Skeptic's critique highlights potential overconfidence in these scores due to missing SPY data.",unclear,52.1
QQQ_20251212_155500,QQQ,2025-12-12 15:55:00+00:00,-1,False,False,True,0.21,0.59,0.54,panic,reversal,0.1333,0.1017,"All agents report low I_scores, with the highest being 0.25, indicating a lack of clear informational catalysts.",unclear,43.6
QQQ_20251119_144000,QQQ,2025-11-19 14:40:00+00:00,1,True,True,True,0.2,0.48,0.6,panic,reversal,0.2333,0.1583,"The Microstructure Agent's P_score was initially high due to extreme volume, but the Skeptic noted this could be mechanical rather than panic-driven, suggesting a reduction.",continuation,54.6
SPY_20251125_144500,SPY,2025-11-25 14:45:00+00:00,-1,True,True,True,0.41,0.54,0.52,panic,reversal,0.8,0.1067,"The Microstructure Agent's high P_score (0.85) suggests a strong belief in panic-driven dynamics, supported by extreme volume conditions.",reversal,76.7
SPY_20251029_183500,SPY,2025-10-29 18:35:00+00:00,-1,False,False,True,0.34,0.57,0.68,panic,reversal,0.4,0.1133,"The Microstructure Agent's analysis suggests a balanced view between information and panic, but the Skeptic highlights potential misinterpretation of cluster length and volume spikes.",unclear,53.2
SPY_20251114_143000,SPY,2025-11-14 14:30:00+00:00,-1,False,True,True,0.21,0.6,0.57,panic,reversal,0.16,0.13,"All agents agree on the absence of a confirmed macroeconomic release, suggesting the move is not driven by new information.",reversal,51.5
TSLA_20251215_143000,TSLA,2025-12-15 14:30:00+00:00,1,True,True,False,0.28,0.53,0.49,panic,reversal,0.4,0.1083,"Microstructure Agent's I_score of 0.55 is reduced due to skepticism about the z-score's informational content, aligning more with mechanical market open behavior.",reversal,53.1
TSLA_20251212_143000,TSLA,2025-12-12 14:30:00+00:00,1,False,True,False,0.2,0.66,0.64,panic,reversal,0.14,0.0583,"All agents report higher P scores, with the Microstructure Agent emphasizing extreme volume as indicative of panic, albeit without a baseline comparison.",reversal,39.3
TSLA_20251103_143000,TSLA,2025-11-03 14:30:00+00:00,1,True,True,False,0.2833333333333333,0.4,0.5333333333333333,mixed,unclear,0.4333,0.1417,Microstructure Agent's I_score was adjusted downward due to the statistical extremity of the z-score not necessarily indicating new information.,continuation,44.6
TSLA_20251204_143000,TSLA,2025-12-04 14:30:00+00:00,-1,True,True,False,0.2,0.4,0.53,noise,unclear,0.3667,0.1183,The Microstructure Agent's high P_score is questioned due to lack of specific panic-inducing microstructure evidence and normalization against typical market-open volumes.,reversal,45.6
TSLA_20251106_144000,TSLA,2025-11-06 14:40:00+00:00,1,False,True,False,0.28,0.63,0.54,panic,reversal,0.2867,0.09,"All agents highlight the absence of detected news, suggesting low likelihood of information-driven movement.",reversal,47.8
TSLA_20251202_145000,TSLA,2025-12-02 14:50:00+00:00,-1,True,True,False,0.2,0.43,0.48,noise,unclear,0.3,0.1167,"The Microstructure and Macro agents both emphasize high volume and timing at the opening bell, which could indicate panic but are also consistent with routine mechanical flows.",reversal,41.1
TSLA_20251224_143000,TSLA,2025-12-24 14:30:00+00:00,-1,True,True,False,0.14,0.56,0.5,panic,reversal,0.1067,0.095,"All agents agree on the absence of TSLA-specific news, supporting a low I_score.",continuation,42.0
TSLA_20251117_143000,TSLA,2025-11-17 14:30:00+00:00,1,False,True,False,0.32,0.61,0.59,panic,reversal,0.2667,0.155,The Microstructure Agent's reliance on z-score and cluster length suggests a potential overestimation of information content due to typical market open conditions.,continuation,68.2
TSLA_20251216_143000,TSLA,2025-12-16 14:30:00+00:00,-1,False,True,False,0.38,0.59,0.55,panic,reversal,0.2667,0.1517,"The Microstructure Agent highlighted that the extreme volume multiplier might be indicative of heightened activity rather than panic, suggesting an information-driven event.",reversal,43.2
TSLA_20251113_143500,TSLA,2025-11-13 14:35:00+00:00,-1,True,True,False,0.16,0.49,0.5,panic,reversal,0.4533,0.1067,"Microstructure Agent's high P_score is supported by the extreme volume multiplier, which is more indicative of panic or algorithmic behavior.",continuation,58.4
XLK_20251125_144000,XLK,2025-11-25 14:40:00+00:00,-1,False,True,True,0.28,0.52,0.61,panic,reversal,0.6,0.1,"The Microstructure and News Agents both emphasize the lack of corroborating moves in broader indices (SPY, QQQ), suggesting the XLK spike is likely idiosyncratic and flow-driven.",reversal,46.2
XLK_20251114_143500,XLK,2025-11-14 14:35:00+00:00,1,False,True,True,0.37,0.53,0.59,panic,reversal,0.18,0.2183,"The Microstructure Agent highlights the mechanical nature of the opening bell movements, suggesting that the observed volatility may not be information-driven.",continuation,59.2
XLK_20260108_143000,XLK,2026-01-08 14:30:00+00:00,-1,False,True,True,0.28,0.57,0.55,panic,reversal,0.1467,0.0867,"All agents agree on a moderate P_score, but the Skeptic suggests this may be inflated due to absence-of-evidence bias.",continuation,48.0
XLK_20251106_144000,XLK,2025-11-06 14:40:00+00:00,-1,False,True,True,0.15,0.55,0.53,panic,reversal,0.1333,0.075,"All agents agree on low I scores, indicating a lack of information-driven movement.",continuation,50.6
